Country,R2,shift,C1_School closing,C1_School closing_Flag,C2_Workplace closing,C2_Workplace closing_Flag,C3_Cancel public events,C3_Cancel public events_Flag,C4_Restrictions on gatherings,C4_Restrictions on gatherings_Flag,C5_Close public transport,C5_Close public transport_Flag,C6_Stay at home requirements,C6_Stay at home requirements_Flag,C7_Restrictions on internal movement,C7_Restrictions on internal movement_Flag,C8_International travel controls,E1_Income support,E1_Income support_Flag,E2_Debt/contract relief,H1_Public information campaigns,H1_Public information campaigns_Flag,H2_Testing policy,H3_Contact tracing,H5_Investment in vaccines,H6_Facial Coverings,H6_Facial Coverings_Flag,H7_Vaccination policy,H7_Vaccination policy_Flag,H8_Protection of elderly people,H8_Protection of elderly people_Flag,V1_Vaccine Prioritisation (summary),V2A_Vaccine Availability (summary),V2B_Vaccine age eligibility/availability age floor (general population summary),V2C_Vaccine age eligibility/availability age floor (at risk summary),V2D_Medically/ clinically vulnerable (Non-elderly),V2E_Education,V2F_Frontline workers  (non healthcare),V2G_Frontline workers  (healthcare),V3_Vaccine Financial Support (summary)
Mozambique,0.8347,18,-8.85E-05,-0.000589905,0,0,0,0.000227321,-0.002202174,0.000431721,-0.000661899,0.000228948,0,0,0,0,0,-1.91E-05,-0.000611837,0,0.011517169,-0.002813592,0.0017712,0.002279548,-0.004317186,-0.003409955,-0.000513829,-0.000428686,-0.001176324,-0.000294714,0,0.001346337,-5.94E-05,0.003522071,0.003428677,0,0,0,0,0
Rwanda,0.7972,6,-1.60E-05,3.06E-05,0.002988415,0,-0.018025943,-0.00029953,8.97E-05,0.000274619,-0.000270983,0.000142479,0.00039097,0,0,0.02762482,0,-0.003287327,2.63E-05,0.020181283,0.000185832,0.000747125,0,0.017795543,0,0,0.01198483,0,0,0,6.83E-07,0,0,0,0,0,0,0,0,0
Liechtenstein,0.6003,0,6.49E-05,0.000430248,0.000621496,7.96E-05,0,-0.004333811,0.00046028,-0.004507142,-0.001252303,-0.000662004,-0.000650414,-0.001242934,-0.000594871,-0.001471244,0,0.000400356,-2.14E-05,-0.000744923,0,0.003156292,0,4.93E-05,0.00232045,0,0.000522279,0.001643366,0.000281846,0.000368528,0.00061563,0,0,0,0,0,0,0,0,0
Yemen,0.8749,7,0.018561344,-0.000650764,-0.006835579,0,0,0,0,0.009789773,-0.011407838,-0.004697266,-0.001537359,-4.22E-05,0,0,0,0,0,-0.003924129,0.014786524,-0.001022926,0.006346045,0,0,0,0,-0.000636236,6.63E-05,0.035298365,0.003405122,0.000331212,0.00192781,0.016153342,-0.000960348,1.66E-05,0,0,0,0
Djibouti,0.4266,17,-0.002468592,0,0,0,-0.002328853,-0.001466438,-0.000926114,0,0,0,0,-1.86E-06,0.005465162,0,0,0,0.000681357,0.00011032,0,0.001219414,0.000292342,-0.002047571,0.000559923,0.011167988,0.000480716,0.000330122,0,0,0,0,0,0,0,0,0,0,0,0
Somalia,0.8417,7,0,0.006393922,0,-0.005146547,0,0.000687219,0.000611981,0,0,0,0,0,0,0,0,-0.010612463,0,0,0,-0.003362853,0,0,0,0,0,0,0,0.013906489,0,0,0,0,0,0,0,0,0,0
Honduras,0.8458,0,0.000166463,0,0,-0.005114168,-0.008870014,0.019194453,0.009673609,-0.007249068,0,0,7.27E-06,0,6.53E-05,-0.000197722,0.000807014,-0.0009201,-0.003260372,0.002941378,-0.003632683,-0.001111546,-0.000661625,0.000598382,-0.002215668,-0.004097579,0,0.010287089,0,0.000578031,-0.000379617,-0.000140822,0,0.046327172,-0.000640107,0.05942007,-0.002660187,-0.001045598,0,0
Andorra,0.8798,3,0,0,0.00425018,0,0,0,0,0.004256299,0,-0.010399007,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.010894551,0,0,0,0.002001011,0,0,0,0,0,0,0
Bosnia and Herzegovina,0.9489,0,0,0,0,0,-0.001167945,0,-0.001496558,0.000607752,0.03573915,-3.16E-05,0.001060188,6.70E-05,0.001038736,0.00011054,-3.74E-06,-0.034692507,0.046449864,0,0,3.74E-05,0.002661161,-9.03E-05,-9.45E-05,0,8.25E-05,-7.02E-05,0,-1.28E-05,0,0,-2.40E-05,0,0.239025922,-0.013518152,0,0,0,0
Paraguay,0.8829,19,5.11E-05,3.51E-06,-0.002178118,0.001506001,0.00629507,4.75E-05,0,0.001006993,0.001994884,-0.002146699,0,-0.000919892,-0.003412063,-0.000537782,0.000585507,-0.000720909,0.000424265,-0.002028796,0.000917643,-0.001366936,0,0.002523318,-0.000192424,0,0,0.000291839,0.00591374,0,0,0.018635689,-1.88E-06,0.00118095,-0.001738168,0,0,0,0,0
Senegal,0.9702,2,-0.000258268,0.000931722,0.002158514,0.00318635,0.009842224,0.000197499,0.001269194,0.000994808,-0.000174995,0.014043556,0.00651439,0.010041242,0.001328723,-0.000826181,-0.000857701,-0.003262445,0.003322952,-0.000143319,0,0.005552155,0.000639438,7.60E-05,0.003392791,0.130658729,0,0.024730138,0.010149901,0,0,0,0,0,0,0,0,0,0,0
Italy,0.9137,19,0.000386327,0.00027011,0.000123701,0,0,-0.000245501,0,-0.000483322,0,0,0,-0.000278704,-0.188434234,0,0,0,0,0.854304255,0,0,0.002136588,0,0,0.008153886,-0.000378675,0,0,0,0,6.35E-05,0,0,0,0,0,0,0,0
Kiribati,0.9171,2,0.014364659,0.013022355,0.003798738,0.000727629,0.011384146,0.000334135,0,0,0,0,0,0,0.012383031,0,0,0,0,-0.039197302,-0.00836205,0.032539599,0.439746637,0.058469705,0.018234766,-0.058691827,-0.069716602,0,0,0,0,0,0,0,0,0,0,0,0,0
Azerbaijan,0.974,0,0.000853964,-0.000326888,0.000385516,-0.000168796,0.000853053,6.45E-06,-0.001221781,-0.00048259,0.003250182,0.00454005,0.000529567,0.001273769,0.007495089,0.002696861,0.004826134,7.32E-06,0,-0.00237045,-0.003922124,-0.001144323,-0.001209106,-0.000934781,-0.001959605,-0.005356284,0.000568072,0.000165791,8.49E-07,2.81E-05,3.04E-05,0.000139066,-0.002859221,-0.000376379,0,0,0,0,0,0
Uruguay,0.8761,2,-0.001502891,-6.57E-05,-6.40E-06,-0.000354257,4.42E-05,0.000149292,0.00010668,0.000529495,0.000576321,0.000597937,1.93E-05,-8.89E-05,0,0.000426047,-7.09E-05,0,7.26E-05,0.004823288,0.002010548,-0.003538312,0.000238813,0.00415427,-0.002507659,8.73E-06,-0.000153091,-4.00E-05,0,0.000817314,0.000779902,0.000159372,0.001178466,0,0.001600058,0.000654593,0,0,0,0
Cote d'Ivoire,0.9674,10,0.000344436,-0.000627092,0,0.001433875,0,0,-0.001159535,0,-0.00230152,-0.01000805,0.005020889,0.000188354,4.61E-05,-0.000706914,-4.66E-06,6.42E-05,0,4.98E-05,0.001966133,-0.000961176,0.000224613,0.000939796,9.13E-05,-0.004270274,2.80E-05,0,0,0,0,-0.001970785,0,-0.0009192,0,0,0,0,0,0
Bahrain,0.9473,18,0.000133976,-7.90E-05,1.23E-05,0.001189633,0.000594423,-1.44E-05,-0.00536618,0.000638403,0,0,0,0,-0.002880185,-0.002961888,0.00026872,0.004122491,-0.000903455,0.00771864,0,0.000446642,0.000464164,0.000353511,8.13E-05,0.031747191,0.000632054,0.000137727,-0.003483842,0,0,0,0,0,0,0,0,0,0,0
Bolivia,0.9775,6,0.005287093,0,0,0,0,0,0,-0.000270795,0,0,-0.00216682,0,0.001701311,0.002101847,0,0,0,0,0,-0.03649605,0,0,0,-0.007668223,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Norway,0.9238,14,0.001516884,0.000726386,0.000194701,0.000535475,0.000265138,0.002139545,0.001048458,0.001165102,0.000805448,0.001541557,0,0,0,0.000322493,1.82E-05,-0.000789559,0.001088529,0.001955029,0.002071494,3.60E-05,5.85E-05,-0.00114223,-0.000183042,2.07E-05,-0.000365514,-0.000177583,0.000633712,0,0.000262309,0,0.001114544,0,0,0,0,0,0,0
Fiji,0.9034,7,-0.00596035,0,0,0,-0.000453864,0.00668639,0.011664539,0,0,0,0,0,0.006994984,0,-0.021631673,0,0,0,-0.002462171,-0.014378347,0,0,0,0,-0.001068999,0,0,0,0,-0.00815992,0,0,0,0,0,0,0,0
Georgia,0.9687,16,0.000545292,0.000567267,0.000259276,0.000287359,0.000211777,-0.001200833,0.001145605,0.001198921,0.00318801,0.001228996,-2.96E-05,0.000391119,-0.004093963,0.000406988,-0.001269868,0,-0.001937566,-0.003957712,0.000669532,-0.010677478,-0.00293138,-0.002017042,-0.000245488,-0.005282063,0,0.00452376,0.001306341,0,0,0.011810623,0.001562236,-0.000809682,0,0,0,0,0,0
Taiwan,0.8325,17,-0.000718399,0.001700189,-0.000248106,0.002137519,0.000283257,0.000839366,0.037271662,-0.002825911,-0.008657225,0,0.003404029,0,0.003833343,0,0.010021882,0.002437887,0.002463888,-0.003215589,-0.005734997,0.000682259,-0.00364883,-0.010987328,0,0.002817298,0.000260362,-0.000155991,-1.60E-05,0.019614066,-8.31E-05,0.00150799,0.001151591,0.002428428,-0.003741949,0,0,0,0,0
Central African Republic,0.8707,19,-0.000190232,-0.004093526,-0.000258825,-0.001556591,0,0,-0.001395336,0.012501228,-0.006441468,0.000907027,0.002097641,-5.98E-05,-0.000119488,-0.004372504,0.004805186,0,-0.006608787,-0.000297466,0,0,-4.16E-05,0,0,0.001570753,0.000359285,0.000778731,0.002031843,0.000211638,-0.00035608,0.010110323,0.001507646,0,0,0,0,0,0,0
Madagascar,0.912,18,-0.000525178,0.00011298,0.000141573,5.63E-05,0.000177102,0.000253261,0.000470255,-0.000903075,-0.000601802,0.000408664,8.61E-06,-1.99E-05,0.000188194,7.31E-05,-0.00157453,-3.82E-05,0,0.000246973,-0.006316707,0.000373624,0.000532273,-0.004228954,-0.001078998,-0.000259914,-0.00045954,-7.74E-05,-3.21E-05,-0.00026522,0,0.001914055,0,-0.000371744,0.000784295,0.000121545,0,0,0,0
Sri Lanka,0.5763,4,-0.003168787,-0.000295336,-0.001724313,-0.001940715,-5.71E-05,-0.000538535,-0.000375829,6.11E-05,-0.000275885,-0.001909643,-0.006365171,0.000169924,-0.000715506,0.008354581,0,0,0.00090299,0,0.04685553,0,0.026035418,0.002118876,-0.004868703,-0.00194107,-0.000236369,-0.000484727,0.0020753,-0.001619418,-2.04E-05,0,0.055338328,0,0.003046076,-0.001037568,0,0,0,0
Liberia,0.8264,5,0.0003902,0,-0.008517743,0,-0.00649151,-0.001835276,0.006464084,-0.001088831,0.005950908,-0.00133886,0,0,-8.83E-05,0,-0.000703384,-0.00022879,0.009734353,0.011768517,0.001385422,-0.000423228,-0.000181662,9.38E-05,-0.002809378,0.00450665,0.071304494,-0.000258288,3.16E-05,0,0,0,0,0,0,0,0,0,0,0
Eritrea,0.4145,0,0.078289144,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.129897417,0,0,0,0,0,0.461301165,0,0,0,0,0,0
Suriname,0.9443,4,8.63E-05,-0.001070423,-0.000777977,-0.003834353,0.001294674,-0.000320543,0.000971423,0.004267413,0.000701974,-0.000716635,-0.003050318,0,0.001836267,-0.000386142,-0.000244535,-0.000317579,0.00083558,-0.001314997,-0.000276521,4.22E-05,0,4.25E-06,-0.000178122,0.006888885,0.001551966,0.006266662,9.15E-05,-2.18E-05,0.015653814,-0.000327617,8.80E-05,-0.000385226,0,0,0,0,0,0
Slovenia,0.8818,5,0.001064914,0.000188299,-0.000631743,-0.000123203,0.001404574,0.000139464,0.001064819,-1.55E-05,-1.62E-05,9.07E-06,-0.002863,0.001984854,-0.00337259,0,0.001887768,0.000336269,0.001431436,-0.001317372,1.43E-05,-0.01145202,-0.000280288,0,1.31E-05,0.002836888,0,-0.001483627,-0.002211917,-4.24E-06,0.000125235,0,0,-0.000123773,0.000196224,0,0,0,0,0
Moldova,0.9569,12,0.00048222,0.001142506,0.000352361,0.000659431,0.000613438,-0.000704786,0.001104691,0.005606872,0.004471443,0.002677227,0.001498026,0.003358724,0.00199766,0.001113165,0,-0.001748553,-0.000439345,-0.001224377,0.048387574,-0.000406758,0.005336754,0.00125488,-0.001456735,0.001760657,0,0.05938104,0.018067538,0,0.001358793,0.048648256,3.50E-05,0,0,0,0,0,0,0
Faeroe Islands,0.8523,8,8.64E-05,-7.77E-05,0.000107927,0.001084787,0.00263484,-0.000116381,0.000827058,0.000722207,0,1.73E-05,2.24E-06,8.40E-05,0.00129805,0.001005664,0.001462655,0.001528462,0,0.000388011,-0.00046,0.000714049,-2.77E-06,-0.000436511,-0.000186918,0.006079845,0.000346242,0.007012363,0.00064323,0.001454494,0,0,0,0,0,0,0,0,0,0
